rental_id,date,hour,minute,user_id,station_id,duration_minutes
R000000,2017-01-01,0,45,U0010,S034,28
R000001,2017-01-01,0,17,U0824,S031,31
R000002,2017-01-01,0,38,U0954,S035,45
R000003,2017-01-01,0,41,U0047,S061,55
R000004,2017-01-01,0,25,U0908,S079,21
R000005,2017-01-01,0,17,U0539,S044,43
R000006,2017-01-01,0,56,U0403,S047,36
R000007,2017-01-01,0,28,U0695,S024,31
R000008,2017-01-01,0,49,U0339,S064,38
R000009,2017-01-01,0,55,U0548,S055,38
R000010,2017-01-01,0,23,U0952,S027,50
R000011,2017-01-01,0,47,U0936,S054,50
R000012,2017-01-01,0,37,U0651,S090,31
R000013,2017-01-01,0,33,U0984,S097,37
R000014,2017-01-01,0,28,U0454,S048,16
R000015,2017-01-01,0,26,U0546,S047,41
R000016,2017-01-01,0,10,U0202,S052,22
R000017,2017-01-01,0,11,U0892,S036,37
R000018,2017-01-01,0,54,U0333,S058,58
R000019,2017-01-01,0,1,U0429,S024,53
R000020,2017-01-01,0,8,U0390,S074,27
R000021,2017-01-01,0,46,U0805,S017,51
R000022,2017-01-01,0,15,U0651,S074,51
R000023,2017-01-01,0,42,U0124,S088,56
R000024,2017-01-01,0,16,U0062,S030,56
R000025,2017-01-01,0,47,U0600,S013,49
R000026,2017-01-01,0,44,U0858,S093,26
R000027,2017-01-01,0,47,U0471,S035,33
R000028,2017-01-01,0,5,U0534,S031,37
R000029,2017-01-01,0,13,U0949,S072,35
R000030,2017-01-01,0,10,U0063,S056,58
R000031,2017-01-01,0,25,U0556,S049,47
R000032,2017-01-01,0,6,U0363,S026,46
R000033,2017-01-01,0,6,U0426,S019,43
R000034,2017-01-01,0,4,U0914,S095,20
R000035,2017-01-01,0,59,U0740,S020,39
R000036,2017-01-01,0,56,U0879,S061,54
R000037,2017-01-01,0,30,U0293,S002,33
R000038,2017-01-01,0,35,U0503,S023,44
R000039,2017-01-01,0,3,U0112,S054,55
R000040,2017-01-01,0,1,U0748,S064,24
R000041,2017-01-01,0,49,U0571,S018,25
R000042,2017-01-01,0,25,U0790,S081,55
R000043,2017-01-01,0,33,U0518,S067,36
R000044,2017-01-01,0,48,U0012,S069,41
R000045,2017-01-01,0,5,U0011,S093,55
R000046,2017-01-01,0,6,U0729,S041,54
R000047,2017-01-01,0,16,U0225,S063,51
R000048,2017-01-01,0,39,U0434,S039,40
R000049,2017-01-01,0,9,U0637,S033,19
R000050,2017-01-01,0,5,U0183,S072,20
R000051,2017-01-01,0,41,U0371,S073,25
R000052,2017-01-01,0,59,U0387,S007,36
R000053,2017-01-01,0,56,U0660,S051,29
R000054,2017-01-01,0,24,U0978,S013,35
R000055,2017-01-01,0,19,U0282,S089,35
R000056,2017-01-01,0,14,U0315,S021,56
R000057,2017-01-01,0,15,U0972,S008,33
R000058,2017-01-01,1,35,U0472,S032,26
R000059,2017-01-01,1,50,U0491,S021,27
R000060,2017-01-01,1,41,U0702,S092,31
R000061,2017-01-01,1,48,U0145,S095,39
R000062,2017-01-01,1,22,U0150,S083,15
R000063,2017-01-01,1,51,U0923,S050,22
R000064,2017-01-01,1,57,U0947,S049,60
R000065,2017-01-01,1,28,U0186,S029,30
R000066,2017-01-01,1,46,U0027,S034,39
R000067,2017-01-01,1,12,U0040,S011,43
R000068,2017-01-01,1,1,U0576,S055,30
R000069,2017-01-01,1,44,U0914,S081,17
R000070,2017-01-01,1,24,U0968,S031,27
R000071,2017-01-01,1,22,U0346,S067,44
R000072,2017-01-01,1,46,U0916,S098,21
R000073,2017-01-01,1,8,U0811,S079,48
R000074,2017-01-01,1,16,U0801,S089,57
R000075,2017-01-01,1,57,U0949,S088,28
R000076,2017-01-01,1,2,U0451,S035,45
R000077,2017-01-01,1,31,U0606,S037,39
R000078,2017-01-01,1,45,U0492,S084,58
R000079,2017-01-01,1,28,U0154,S096,34
R000080,2017-01-01,1,35,U0995,S069,35
R000081,2017-01-01,1,18,U0949,S035,25
R000082,2017-01-01,1,34,U0191,S053,55
R000083,2017-01-01,1,44,U0779,S025,17
R000084,2017-01-01,1,31,U0684,S009,50
R000085,2017-01-01,1,12,U0804,S024,48
R000086,2017-01-01,1,36,U0687,S018,22
R000087,2017-01-01,1,11,U0752,S038,31
R000088,2017-01-01,1,34,U0579,S015,45
R000089,2017-01-01,1,22,U0691,S082,55
R000090,2017-01-01,1,20,U0719,S059,34
R000091,2017-01-01,1,46,U0585,S080,27
R000092,2017-01-01,1,29,U0355,S058,38
R000093,2017-01-01,1,17,U0559,S035,18
R000094,2017-01-01,1,55,U0539,S090,57
R000095,2017-01-01,1,53,U0594,S080,28
R000096,2017-01-01,1,38,U0260,S063,22
R000097,2017-01-01,1,58,U0903,S025,30
R000098,2017-01-01,1,55,U0151,S042,55
R000099,2017-01-01,1,35,U0498,S003,42
R000100,2017-01-01,1,10,U0354,S020,35
R000101,2017-01-01,1,4,U0423,S007,15
R000102,2017-01-01,1,33,U0720,S069,25
R000103,2017-01-01,1,9,U0439,S003,32
R000104,2017-01-01,1,28,U0171,S024,52
R000105,2017-01-01,1,18,U0324,S014,22
R000106,2017-01-01,1,52,U0018,S037,40
R000107,2017-01-01,1,16,U0002,S035,30
R000108,2017-01-01,1,34,U0574,S017,15
R000109,2017-01-01,1,23,U0926,S092,17
R000110,2017-01-01,1,29,U0867,S057,52
R000111,2017-01-01,1,0,U0959,S094,59
R000112,2017-01-01,1,49,U0154,S002,45
R000113,2017-01-01,1,40,U0555,S030,59
R000114,2017-01-01,1,32,U0307,S012,53
R000115,2017-01-01,1,24,U0547,S020,24
R000116,2017-01-01,1,46,U0603,S002,38
R000117,2017-01-01,1,11,U0012,S064,20
R000118,2017-01-01,1,56,U0741,S028,30
R000119,2017-01-01,1,1,U0844,S044,25
R000120,2017-01-01,1,39,U0994,S054,46
R000121,2017-01-01,1,54,U0816,S040,20
R000122,2017-01-01,1,23,U0534,S064,58
R000123,2017-01-01,1,49,U0343,S048,54
R000124,2017-01-01,1,39,U0017,S060,36
R000125,2017-01-01,1,15,U0746,S090,55
R000126,2017-01-01,1,20,U0855,S005,18
R000127,2017-01-01,1,46,U0311,S043,18
R000128,2017-01-01,1,4,U0669,S011,37
R000129,2017-01-01,1,42,U0399,S097,56
R000130,2017-01-01,1,34,U0010,S019,24
R000131,2017-01-01,1,52,U0606,S008,59
R000132,2017-01-01,1,24,U0628,S035,49
R000133,2017-01-01,1,12,U0208,S100,21
R000134,2017-01-01,1,33,U0456,S051,23
R000135,2017-01-01,1,43,U0999,S010,46
R000136,2017-01-01,1,31,U0756,S070,29
R000137,2017-01-01,1,49,U0427,S061,35
R000138,2017-01-01,2,37,U0617,S085,21
R000139,2017-01-01,2,16,U0170,S009,17
R000140,2017-01-01,2,3,U0470,S006,51
R000141,2017-01-01,2,23,U0345,S017,56
R000142,2017-01-01,2,14,U0453,S023,39
R000143,2017-01-01,2,38,U0692,S005,57
R000144,2017-01-01,2,45,U0344,S026,46
R000145,2017-01-01,2,4,U0132,S014,48
R000146,2017-01-01,2,0,U0166,S063,54
R000147,2017-01-01,2,59,U0574,S025,59
R000148,2017-01-01,3,34,U0235,S065,51
R000149,2017-01-01,3,36,U0730,S044,24
R000150,2017-01-01,3,9,U0844,S085,21
R000151,2017-01-01,3,20,U0979,S021,17
R000152,2017-01-01,3,32,U0943,S069,44
R000153,2017-01-01,3,44,U0128,S077,37
R000154,2017-01-01,3,14,U0801,S057,24
R000155,2017-01-01,3,9,U0108,S046,23
R000156,2017-01-01,3,3,U0582,S041,31
R000157,2017-01-01,3,43,U0613,S071,38
R000158,2017-01-01,3,46,U0721,S042,52
R000159,2017-01-01,3,25,U0878,S048,30
R000160,2017-01-01,3,28,U0616,S053,29
R000161,2017-01-01,3,48,U0095,S098,31
R000162,2017-01-01,3,38,U0446,S082,34
R000163,2017-01-01,3,36,U0581,S056,20
R000164,2017-01-01,3,32,U0033,S093,51
R000165,2017-01-01,3,5,U0788,S042,40
R000166,2017-01-01,3,14,U0119,S078,51
R000167,2017-01-01,3,27,U0507,S031,28
R000168,2017-01-01,3,18,U0069,S073,19
R000169,2017-01-01,3,50,U0240,S070,35
R000170,2017-01-01,3,25,U0598,S028,45
R000171,2017-01-01,3,9,U0166,S049,26
R000172,2017-01-01,3,8,U0183,S099,46
R000173,2017-01-01,3,21,U0782,S071,59
R000174,2017-01-01,3,5,U0251,S096,59
R000175,2017-01-01,3,30,U0933,S033,51
R000176,2017-01-01,3,36,U0662,S047,21
R000177,2017-01-01,3,47,U0211,S058,53
R000178,2017-01-01,3,3,U0212,S058,56
R000179,2017-01-01,3,35,U0580,S051,34
R000180,2017-01-01,3,25,U0703,S001,17
R000181,2017-01-01,3,16,U0269,S093,51
R000182,2017-01-01,3,5,U0626,S005,39
R000183,2017-01-01,3,25,U0305,S037,20
R000184,2017-01-01,3,32,U0613,S077,18
R000185,2017-01-01,3,27,U0991,S003,36
R000186,2017-01-01,3,49,U0460,S067,37
R000187,2017-01-01,3,44,U0803,S018,42
R000188,2017-01-01,3,8,U0100,S039,41
R000189,2017-01-01,3,48,U0825,S001,22
R000190,2017-01-01,3,8,U0578,S039,29
R000191,2017-01-01,3,30,U0786,S029,56
